Indicator Name,Indicator Code,Indicator Name and Definition
Number of under-five deaths,SH.DTH.MORT,SH.DTH.MORT - Number of under-five deaths
Number of visits or required meetings with tax officials (average for affected firms),IC.TAX.METG,IC.TAX.METG - Number of visits or required meetings with tax officials (average for affected firms)
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,"SH.MED.NUMW.P3 - Nurses and midwives (per 1,000 people)"
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"PA.NUS.FCRF - Official exchange rate (LCU per US$, period average)"
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,NY.GDP.PETR.RT.ZS - Oil rents (% of GDP)
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,TX.VAL.MMTL.ZS.UN - Ores and metals exports (% of merchandise exports)
Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,TM.VAL.MMTL.ZS.UN - Ores and metals imports (% of merchandise imports)
Other expense (% of expense),GC.XPN.OTHR.ZS,GC.XPN.OTHR.ZS - Other expense (% of expense)
Other expense (current LCU),GC.XPN.OTHR.CN,GC.XPN.OTHR.CN - Other expense (current LCU)
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,NV.MNF.OTHR.ZS.UN - Other manufacturing (% of value added in manufacturing)
Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS,GC.TAX.OTHR.RV.ZS - Other taxes (% of revenue)
Other taxes (current LCU),GC.TAX.OTHR.CN,GC.TAX.OTHR.CN - Other taxes (current LCU)
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,IC.TAX.OTHR.CP.ZS - Other taxes payable by businesses (% of commercial profits)
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.CH.ZS - Out-of-pocket expenditure (% of current health expenditure)
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PC.CD - Out-of-pocket expenditure per capita (current US$)
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,"SH.XPD.OOPC.PP.CD - Out-of-pocket expenditure per capita, PPP (current international $)"
"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,"SE.PRM.OENR.ZS - Over-age students, primary (% of enrollment)"
"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,"SE.PRM.OENR.FE.ZS - Over-age students, primary, female (% of female enrollment)"
"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,"SE.PRM.OENR.MA.ZS - Over-age students, primary, male (% of male enrollment)"
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,"SL.TLF.PART.FE.ZS - Part time employment, female (% of total female employment)"
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,"SL.TLF.PART.MA.ZS - Part time employment, male (% of total male employment)"
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,"SL.TLF.PART.ZS - Part time employment, total (% of total employment)"
"Patent applications, nonresidents",IP.PAT.NRES,"IP.PAT.NRES - Patent applications, nonresidents"
"Patent applications, residents",IP.PAT.RESD,"IP.PAT.RESD - Patent applications, residents"
People practicing open defecation (% of population),SH.STA.ODFC.ZS,SH.STA.ODFC.ZS - People practicing open defecation (% of population)
"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,"SH.STA.ODFC.RU.ZS - People practicing open defecation, rural (% of rural population)"
"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,"SH.STA.ODFC.UR.ZS - People practicing open defecation, urban (% of urban population)"
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,SH.H2O.BASW.ZS - People using at least basic drinking water services (% of population)
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,"SH.H2O.BASW.RU.ZS - People using at least basic drinking water services, rural (% of rural population)"
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,"SH.H2O.BASW.UR.ZS - People using at least basic drinking water services, urban (% of urban population)"
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,SH.STA.BASS.ZS - People using at least basic sanitation services (% of population)
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,"SH.STA.BASS.RU.ZS - People using at least basic sanitation services, rural (% of rural population)"
"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,"SH.STA.BASS.UR.ZS - People using at least basic sanitation services, urban (% of urban population)"
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,SH.H2O.SMDW.ZS - People using safely managed drinking water services (% of population)
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,"SH.H2O.SMDW.RU.ZS - People using safely managed drinking water services, rural (% of rural population)"
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,"SH.H2O.SMDW.UR.ZS - People using safely managed drinking water services, urban (% of urban population)"
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,SH.STA.SMSS.ZS - People using safely managed sanitation services (% of population)
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,"SH.STA.SMSS.RU.ZS - People using safely managed sanitation services, rural (% of rural population)"
"People using safely managed sanitation services, urban (% of urban population)",SH.STA.SMSS.UR.ZS,"SH.STA.SMSS.UR.ZS - People using safely managed sanitation services, urban (% of urban population)"
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,SH.STA.HYGN.ZS - People with basic handwashing facilities including soap and water (% of population)
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,"SH.STA.HYGN.RU.ZS - People with basic handwashing facilities including soap and water, rural (% of rural population)"
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,"SH.STA.HYGN.UR.ZS - People with basic handwashing facilities including soap and water, urban (% of urban population)"
Permanent cropland (% of land area),AG.LND.CROP.ZS,AG.LND.CROP.ZS - Permanent cropland (% of land area)
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,"SE.PRM.PRS5.FE.ZS - Persistence to grade 5, female (% of cohort)"
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,"SE.PRM.PRS5.MA.ZS - Persistence to grade 5, male (% of cohort)"
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,"SE.PRM.PRS5.ZS - Persistence to grade 5, total (% of cohort)"
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,"SE.PRM.PRSL.FE.ZS - Persistence to last grade of primary, female (% of cohort)"
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,"SE.PRM.PRSL.MA.ZS - Persistence to last grade of primary, male (% of cohort)"
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,"SE.PRM.PRSL.ZS - Persistence to last grade of primary, total (% of cohort)"
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,"BM.TRF.PWKR.CD.DT - Personal remittances, paid (current US$)"
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,"BX.TRF.PWKR.DT.GD.ZS - Personal remittances, received (% of GDP)"
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,"BX.TRF.PWKR.CD.DT - Personal remittances, received (current US$)"
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,"BX.TRF.PWKR.CD - Personal transfers, receipts (BoP, current US$)"
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"SH.MED.PHYS.ZS - Physicians (per 1,000 people)"
"Plant species (higher), threatened",EN.HPT.THRD.NO,"EN.HPT.THRD.NO - Plant species (higher), threatened"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"EN.ATM.PM25.MC.M3 - PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,"EN.ATM.PM25.MC.ZS - PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,"EN.ATM.PM25.MC.T1.ZS - PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,"EN.ATM.PM25.MC.T2.ZS - PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,"EN.ATM.PM25.MC.T3.ZS - PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)"
"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,"DT.NFL.PNGB.CD - PNG, bonds (NFL, current US$)"
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,"DT.NFL.PNGC.CD - PNG, commercial banks and other creditors (NFL, current US$)"
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,PV.EST - Political Stability and Absence of Violence/Terrorism: Estimate
Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,PV.NO.SRC - Political Stability and Absence of Violence/Terrorism: Number of Sources
Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,PV.PER.RNK - Political Stability and Absence of Violence/Terrorism: Percentile Rank
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,"PV.PER.RNK.LOWER - Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval"
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,"PV.PER.RNK.UPPER - Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval"
Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,PV.STD.ERR - Political Stability and Absence of Violence/Terrorism: Standard Error
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,"SP.POP.0004.FE.5Y - Population ages 00-04, female (% of female population)"
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,"SP.POP.0004.MA.5Y - Population ages 00-04, male (% of male population)"
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,SP.POP.0014.TO.ZS - Population ages 0-14 (% of total population)
"Population ages 0-14, female",SP.POP.0014.FE.IN,"SP.POP.0014.FE.IN - Population ages 0-14, female"
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,"SP.POP.0014.FE.ZS - Population ages 0-14, female (% of female population)"
"Population ages 0-14, male",SP.POP.0014.MA.IN,"SP.POP.0014.MA.IN - Population ages 0-14, male"
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,"SP.POP.0014.MA.ZS - Population ages 0-14, male (% of male population)"
"Population ages 0-14, total",SP.POP.0014.TO,"SP.POP.0014.TO - Population ages 0-14, total"
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,"SP.POP.0509.FE.5Y - Population ages 05-09, female (% of female population)"
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,"SP.POP.0509.MA.5Y - Population ages 05-09, male (% of male population)"
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,"SP.POP.1014.FE.5Y - Population ages 10-14, female (% of female population)"
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,"SP.POP.1014.MA.5Y - Population ages 10-14, male (% of male population)"
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,"SP.POP.1519.FE.5Y - Population ages 15-19, female (% of female population)"
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,"SP.POP.1519.MA.5Y - Population ages 15-19, male (% of male population)"
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,SP.POP.1564.TO.ZS - Population ages 15-64 (% of total population)
"Population ages 15-64, female",SP.POP.1564.FE.IN,"SP.POP.1564.FE.IN - Population ages 15-64, female"
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,"SP.POP.1564.FE.ZS - Population ages 15-64, female (% of female population)"
"Population ages 15-64, male",SP.POP.1564.MA.IN,"SP.POP.1564.MA.IN - Population ages 15-64, male"
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,"SP.POP.1564.MA.ZS - Population ages 15-64, male (% of male population)"
"Population ages 15-64, total",SP.POP.1564.TO,"SP.POP.1564.TO - Population ages 15-64, total"
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,"SP.POP.2024.FE.5Y - Population ages 20-24, female (% of female population)"
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,"SP.POP.2024.MA.5Y - Population ages 20-24, male (% of male population)"
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,"SP.POP.2529.FE.5Y - Population ages 25-29, female (% of female population)"
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,"SP.POP.2529.MA.5Y - Population ages 25-29, male (% of male population)"
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,"SP.POP.3034.FE.5Y - Population ages 30-34, female (% of female population)"
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,"SP.POP.3034.MA.5Y - Population ages 30-34, male (% of male population)"
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,"SP.POP.3539.FE.5Y - Population ages 35-39, female (% of female population)"
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,"SP.POP.3539.MA.5Y - Population ages 35-39, male (% of male population)"
"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,"SP.POP.4044.FE.5Y - Population ages 40-44, female (% of female population)"
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,"SP.POP.4044.MA.5Y - Population ages 40-44, male (% of male population)"
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,"SP.POP.4549.FE.5Y - Population ages 45-49, female (% of female population)"
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,"SP.POP.4549.MA.5Y - Population ages 45-49, male (% of male population)"
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,"SP.POP.5054.FE.5Y - Population ages 50-54, female (% of female population)"
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,"SP.POP.5054.MA.5Y - Population ages 50-54, male (% of male population)"
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,"SP.POP.5559.FE.5Y - Population ages 55-59, female (% of female population)"
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,"SP.POP.5559.MA.5Y - Population ages 55-59, male (% of male population)"
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,"SP.POP.6064.FE.5Y - Population ages 60-64, female (% of female population)"
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,"SP.POP.6064.MA.5Y - Population ages 60-64, male (% of male population)"
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,SP.POP.65UP.TO.ZS - Population ages 65 and above (% of total population)
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,"SP.POP.65UP.FE.IN - Population ages 65 and above, female"
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,"SP.POP.65UP.FE.ZS - Population ages 65 and above, female (% of female population)"
"Population ages 65 and above, male",SP.POP.65UP.MA.IN,"SP.POP.65UP.MA.IN - Population ages 65 and above, male"
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,"SP.POP.65UP.MA.ZS - Population ages 65 and above, male (% of male population)"
"Population ages 65 and above, total",SP.POP.65UP.TO,"SP.POP.65UP.TO - Population ages 65 and above, total"
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,"SP.POP.6569.FE.5Y - Population ages 65-69, female (% of female population)"
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,"SP.POP.6569.MA.5Y - Population ages 65-69, male (% of male population)"
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,"SP.POP.7074.FE.5Y - Population ages 70-74, female (% of female population)"
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,"SP.POP.7074.MA.5Y - Population ages 70-74, male (% of male population)"
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,"SP.POP.7579.FE.5Y - Population ages 75-79, female (% of female population)"
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,"SP.POP.7579.MA.5Y - Population ages 75-79, male (% of male population)"
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,"SP.POP.80UP.FE.5Y - Population ages 80 and above, female (% of female population)"
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,"SP.POP.80UP.MA.5Y - Population ages 80 and above, male (% of male population)"
Population density (people per sq. km of land area),EN.POP.DNST,EN.POP.DNST - Population density (people per sq. km of land area)
Population growth (annual %),SP.POP.GROW,SP.POP.GROW - Population growth (annual %)
Population in largest city,EN.URB.LCTY,EN.URB.LCTY - Population in largest city
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,EN.URB.LCTY.UR.ZS - Population in the largest city (% of urban population)
Population in urban agglomerations of more than 1 million,EN.URB.MCTY,EN.URB.MCTY - Population in urban agglomerations of more than 1 million
