Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Economic,['Economic'],Economic
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Economic,['Economic'],Economic
"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,Education,"['Education', 'Demographics']",Education
"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Gender
"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,Education,"['Education', 'Demographics']",Education
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Labor,"['Labor', 'Gender']",Gender
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Labor,['Labor'],Labor
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Labor,['Labor'],Labor
"Patent applications, nonresidents",IP.PAT.NRES,Technology,['Technology'],Technology
"Patent applications, residents",IP.PAT.RESD,Technology,['Technology'],Technology
People practicing open defecation (% of population),SH.STA.ODFC.ZS,Demographics,['Demographics'],Demographics
"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,Agriculture,"['Agriculture', 'Demographics']",Agriculture
"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,Agriculture,"['Agriculture', 'Infrastructure', 'Demographics']",Agriculture
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Healthcare,"['Healthcare', 'Infrastructure', 'Demographics']",Healthcare
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,Healthcare,"['Healthcare', 'Agriculture', 'Infrastructure', 'Demographics']",Healthcare
"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,Healthcare,"['Healthcare', 'Infrastructure', 'Demographics']",Healthcare
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,Agriculture,"['Agriculture', 'Infrastructure', 'Demographics']",Agriculture
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,Healthcare,"['Healthcare', 'Infrastructure', 'Demographics']",Healthcare
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,Healthcare,"['Healthcare', 'Agriculture', 'Infrastructure', 'Demographics']",Healthcare
"People using safely managed sanitation services, urban (% of urban population)",SH.STA.SMSS.UR.ZS,Healthcare,"['Healthcare', 'Infrastructure', 'Demographics']",Healthcare
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,Agriculture,"['Agriculture', 'Infrastructure', 'Demographics']",Agriculture
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
Permanent cropland (% of land area),AG.LND.CROP.ZS,Agriculture,['Agriculture'],Agriculture
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,Education,"['Education', 'Gender']",Gender
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,Education,['Education'],Education
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,Education,['Education'],Education
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,Education,"['Education', 'Gender']",Gender
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,Education,['Education'],Education
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,Education,['Education'],Education
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Financial Services,['Financial Services'],Financial Services
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Economic,"['Economic', 'Financial Services']",Economic
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Financial Services,['Financial Services'],Financial Services
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Financial Services,['Financial Services'],Financial Services
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Healthcare,['Healthcare'],Healthcare
"Plant species (higher), threatened",EN.HPT.THRD.NO,Natural Resources,['Natural Resources'],Natural Resources
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Climate,['Climate'],Climate
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,Climate,"['Climate', 'Demographics']",Climate
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,Climate,"['Climate', 'Demographics']",Climate
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,Climate,"['Climate', 'Demographics']",Climate
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,Climate,"['Climate', 'Demographics']",Climate
"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,Economic,['Economic'],Economic
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Economic,"['Economic', 'Financial Services']",Financial Services
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Military,"['Military', 'Governance']",Military
Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,Military,"['Military', 'Governance']",Military
Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,Military,"['Military', 'Governance']",Military
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,Military,"['Military', 'Governance']",Military
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,Military,"['Military', 'Governance']",Military
Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,Military,"['Military', 'Governance']",Military
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,Demographics,['Demographics'],Demographics
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Demographics,['Demographics'],Demographics
"Population ages 0-14, female",SP.POP.0014.FE.IN,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 0-14, male",SP.POP.0014.MA.IN,Demographics,['Demographics'],Demographics
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Demographics,['Demographics'],Demographics
"Population ages 0-14, total",SP.POP.0014.TO,Demographics,['Demographics'],Demographics
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Demographics,['Demographics'],Demographics
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Demographics,['Demographics'],Demographics
"Population ages 15-64, female",SP.POP.1564.FE.IN,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 15-64, male",SP.POP.1564.MA.IN,Demographics,['Demographics'],Demographics
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Demographics,['Demographics'],Demographics
"Population ages 15-64, total",SP.POP.1564.TO,Demographics,['Demographics'],Demographics
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,Demographics,['Demographics'],Demographics
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Demographics,['Demographics'],Demographics
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 65 and above, male",SP.POP.65UP.MA.IN,Demographics,['Demographics'],Demographics
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,Demographics,['Demographics'],Demographics
"Population ages 65 and above, total",SP.POP.65UP.TO,Demographics,['Demographics'],Demographics
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,Demographics,['Demographics'],Demographics
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,Demographics,"['Demographics', 'Gender']",Gender
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,Demographics,['Demographics'],Demographics
Population density (people per sq. km of land area),EN.POP.DNST,Agriculture,"['Agriculture', 'Demographics']",Agriculture
Population growth (annual %),SP.POP.GROW,Demographics,['Demographics'],Demographics
Population in largest city,EN.URB.LCTY,Demographics,['Demographics'],Demographics
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
Population in urban agglomerations of more than 1 million,EN.URB.MCTY,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,Demographics,['Demographics'],Demographics
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
"Population, female",SP.POP.TOTL.FE.IN,Demographics,"['Demographics', 'Gender']",Gender
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Population, male",SP.POP.TOTL.MA.IN,Demographics,['Demographics'],Demographics
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Demographics,['Demographics'],Demographics
"Population, total",SP.POP.TOTL,Demographics,['Demographics'],Demographics
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Financial Services,['Financial Services'],Financial Services
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Economic,['Economic'],Economic
"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,Economic,"['Economic', 'Financial Services']",Financial Services
Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,Economic,"['Economic', 'Poverty']",Poverty
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Economic,"['Economic', 'Poverty']",Poverty
Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,Economic,"['Economic', 'Poverty']",Poverty
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Economic,"['Economic', 'Poverty', 'Demographics']",Poverty
Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,Economic,"['Economic', 'Poverty', 'Demographics']",Poverty
Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,Economic,"['Economic', 'Poverty', 'Demographics']",Poverty
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Poverty,"['Poverty', 'Demographics']",Poverty
Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,Poverty,"['Poverty', 'Demographics']",Poverty
Power outages in firms in a typical month (number),IC.ELC.OUTG,Economic,"['Economic', 'Infrastructure', 'Demographics']",Economic
"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD,Economic,['Economic'],Economic
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Economic,['Economic'],Economic
"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,Economic,['Economic'],Economic
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Economic,['Economic'],Economic
"PPG, official creditors (NFL, US$)",DT.NFL.OFFT.CD,Financial Services,['Financial Services'],Financial Services
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Financial Services,['Financial Services'],Financial Services
"PPG, private creditors (NFL, US$)",DT.NFL.PRVT.CD,Financial Services,['Financial Services'],Financial Services
